 총  매  출,0,0,   23445,   26228,   24116,   30346,   38247,   36857,   37205,   36721,   31248,   30668,   35200,   39769,   28635,#FADCC8,11,1999,1,210.124.184.111
 총  채  권,0,0,   35198,   35785,   30797,   30209,   33432,   36969,   37349,   35116,   31711,   27863,   27951,   32656,       0,#FADCC8,11,1999,1,210.124.184.111
     전월비,0,0,       0,     587,   -4988,    -588,    3223,    3537,     380,   -2233,   -3405,   -3848,      88,    4705,  -32656,#FFFFFF,11,1999,1,210.124.184.111
     전년비,0,0,       0,     587,   -4401,   -4989,   -1766,    1771,    2151,     -82,   -3487,   -7335,   -7247,   -2542,  -35198,#FFFFFF,11,1999,1,210.124.184.111
   정상채권,0,0,  20199,   21846,   17288,   17725,   21500,   25730,   26572,   26408,   23488,   20205,   20702,   26616,       0,#FFFFFF,11,1999,1,210.124.184.111
   정리채권,0,0,  14999,   13939,   13509,   12484,   11932,   11239,   10777,    8708,    8223,    7658,    7249,    6040,       0,#FADCC8,11,1999,1,210.124.184.111
     전월비,0,0,       0,   -1060,    -430,   -1025,    -552,    -693,    -462,   -2069,    -485,    -565,    -409,   -1209,   -6040,#FFFFFF,11,1999,1,210.124.184.111
     전년비,0,0,       0,   -1060,   -1490,   -2515,   -3067,   -3760,   -4222,   -6291,   -6776,   -7341,   -7750,   -8959,  -14999,#FFFFFF,11,1999,1,210.124.184.111
 총  여  신,0,0,  37,  39,  37,  33,  32,  31,  29,  28,  27,  25,  25,  27,   0,#FFFACD,11,1999,1,210.124.184.111
     전월비,0,0,      0,   7,  -5, -10,  -3,  -2,  -5,  -4,  -4,  -6,   2,   7,-100,#FFFFFF,11,1999,1,210.124.184.111
     전년비,0,0,      0,   7,   1,  -8, -12, -14, -19, -23, -26, -31, -30, -24,-100,#FFFFFF,11,1999,1,210.124.184.111
   정리제외,0,0,  37,  24,  21,  19,  20,  22,  21,  21,  20,  18,  19,  22,   0,#FFFFFF,11,1999,1,210.124.184.111
