0,1,0.173,1
1,2,0.0673,1
2,3,0.203,1
3,4,0.125,1
4,5,0.115,1
5,6,0.28,1
6,7,0.224,1
7,8,0.0049,1
8,9,0.181,1
9,10,0.185,1
10,1,0.221,2
11,2,0.442,2
12,3,0.668,2
13,4,0.559,2
14,5,0.35,2
15,6,0.165,2
16,7,0.13,2
17,8,0.41,2
18,9,0.626,2
19,10,0.569,2
20,1,0.466,3
21,2,0.687,3
22,3,0.812,3
23,4,0.704,3
24,5,0.494,3
25,6,0.31,3
26,7,0.375,3
27,8,0.654,3
28,9,0.77,3
29,10,0.014,3
30,1,0.136,4
31,2,0.357,4
32,3,0.583,4
33,4,0.474,4
34,5,0.265,4
35,6,0.0798,4
36,7,0.0451,4
37,8,0.325,4
38,9,0.541,4
39,10,0.084,4
40,1,0.408,5
41,2,0.288,5
42,3,0.162,5
43,4,0.17,5
44,5,0.48,5
45,6,0.565,5
46,7,0.5,5
47,8,0.32,5
48,9,0.104,5
49,10,0.36,5
50,1,1.04,6
51,2,0.724,6
52,3,0.698,6
53,4,0.706,6
54,5,0.916,6
55,6,1.1,6
56,7,1.04,6
57,8,0.856,6
58,9,0.64,6
59,10,0.396,6
60,1,1.05,7
61,2,0.826,7
62,3,0.7,7
63,4,0.708,7
64,5,1.02,7
65,6,1.17,7
66,7,1.14,7
67,8,0.958,7
68,9,0.742,7
69,10,0.298,7
70,1,0.817,8
71,2,0.696,8
72,3,0.471,8
73,4,0.579,8
74,5,0.789,8
75,6,0.974,8
76,7,0.808,8
77,8,0.629,8
78,9,0.413,8
79,10,0.869,8
80,1,0.683,9
81,2,0.463,9
82,3,0.237,9
83,4,0.346,9
84,5,0.555,9
85,6,0.74,9
86,7,0.775,9
87,8,0.495,9
88,9,0.279,9
89,10,0.636,9
90,1,0.851,10
91,2,0.631,10
92,3,0.405,10
93,4,0.513,10
94,5,0.823,10
95,6,0.908,10
96,7,0.942,10
97,8,0.763,10
98,9,0.547,10
99,10,0.803,10

