"user_seq_key:STRING(1)","no_seq:DECIMAL(18)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",5000000,"",1,"총무관리","                                        "
"",10000000,"",2,"복리후생","                                        "
"",10000010,"U",3,"경조사/학자금등록","/general/p_web/09/p_gen_welfare_1h.html"
"",10000020,"U",3,"월드회수입/지출관리","/general/p_web/09/p_gen_income_list_1h.html"
"",10000030,"U",3,"월드회대출등록","/general/p_web/09/p_gen_loan_1h.html"
"",10000035,"R",3,"월드회상환내역집계","/general/p_web/09/p_repay_update_1h.html"
"",10000040,"U",3,"월드회상환관리","/general/p_web/09/p_gen_repay_1h.html"
"",10000050,"U",3,"직위별자가운전보조비등록(월별)","/general/p_web/09/p_gen_grade_driver_1h.html"
"",10000150,"U",3,"자가운전보조비집계","/general/p_web/09/p_gen_driver_1h.html"
"",10000350,"R",3,"자가운전보조비전표생성","/general/p_web/16/p_gen_slip_driver_1h.html"
"",10000450,"R",3,"건강보험/국민연금전표생성","/general/p_web/16/p_pay_slip_deduction_1h.html"
"",20000000,"",2,"근태관리","                                        "
"",20000100,"U",3,"휴일등록","/general/p_web/06/p_attend_holiday_1h.html"
"",20000300,"R",3,"연차사용현황","/general/p_web/06/p_attend_input_year_1h.html"
"",20000500,"U",3,"연차관리","/general/p_web/06/p_attend_input_shared_1h.html"
"",20000600,"R",3,"월별연차내역","/general/p_web/06/p_attend_query_1h.html"
"",20000700,"R",3,"월자료생성","/general/p_web/06/p_attend_emp_create_1h.html"
"",20000750,"S",3,"근태승인자등록","/general/p_web/06/p_attend_emp_approv_input_1h.html"
"",20000800,"S",3,"개인월근태","/general/p_web/06/p_attend_emp_1h.html"
"",20000900,"U",3,"일일근태","/general/p_web/06/p_attend_emp_day_1h.html"
"",20001000,"S",3,"월근태관리","/general/p_web/06/p_attend_emp_list_1h.html"
"",20001100,"R",3,"월근태조회","/general/p_web/06/p_attend_emp_cnt_1h.html"
"",120000000,"",2,"출력물","                                        "
"",120000100,"P",3,"생일자현황","/general/p_web/01r/p_pers_birthday_1h.html"
"",120000200,"P",3,"결혼기념일현황","/general/p_web/01r/p_pers_married_1h.html"
"",120000300,"P",3,"경조사지급내역","/general/p_web/01r/p_gen_welfare_mon_1h.html"
"",120000400,"P",3,"월드회대출현황","/general/p_web/01r/p_gen_loan_1h.html"
"",120000500,"P",3,"자가운전보조비월별집계","/general/p_web/01r/p_gen_driver_mon_1h.html"
"",120000600,"P",3,"자가운전보조비명세서","/general/p_web/01r/p_gen_driver_1h.html"
"",120000700,"P",3,"결산세부사항","/general/p_web/01r/p_gen_settle_mon_1h.html"
