"user_seq_key:STRING(1)","no_seq:DECIMAL(18)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",10000000,"",1,"근태관리","                                        "
"",10000001,"U",2,"휴일등록","/general/p_web/06/p_attend_holiday_1h.html"
"",10000020,"R",2,"연차사용현황","/general/p_web/06/p_attend_input_year_1h.html"
"",10000050,"U",2,"연차관리","/general/p_web/06/p_attend_input_shared_1h.html"
"",10000060,"R",2,"월별연차내역","/general/p_web/06/p_attend_query_1h.html"
"",10000065,"R",2,"월자료생성","/general/p_web/06/p_attend_emp_create_1h.html"
"",10000072,"S",2,"근태승인자등록","/general/p_web/06/p_attend_emp_approv_input_1h.html"
"",10000080,"U",2,"일일근태","/general/p_web/06/p_attend_emp_day_1h.html"
"",10000090,"S",2,"월근태관리","/general/p_web/06/p_attend_emp_list_1h.html"
"",10000100,"R",2,"월근태조회","/general/p_web/06/p_attend_emp_cnt_1h.html"
