"user_seq_key:STRING(1)","no_seq:DECIMAL(18)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",10000000,"R",1,"공통관리","                                        "
"",20000000,"",2,"권한관리","                                        "
"",30000000,"U",3,"프로그램 관리","                                        "
"",30000200,"U",4,"프로그램 등록","/zmis/z_pgrm_content_h.html"
"",40000000,"U",3,"그룹 관리","                                        "
"",40000100,"U",4,"그룹 등록","/zmis/z_group_h.html"
"",40000200,"U",4,"그룹 프로그램 목록","/zmis/z_group_pgrm_title_h.html"
"",40000300,"U",4,"그룹 프로그램 등록","/zmis/z_group_pgrm_content_h.html"
"",50000000,"U",3,"부서별 권한 관리 ","                                        "
"",50000100,"U",4,"부서별 그룹 등록","/zmis/z_user_group_h.html"
"",50000200,"U",4,"프로그램 목록 등록","/zmis/z_user_pgrm_title_h.html"
"",50000300,"U",4,"프로그램 등록","/zmis/z_user_pgrm_content_h.html"
"",50000400,"U",4,"개인별 개별메뉴 등록","/zmis/z_user_h.html"
"",60000000,"U",3,"개인별 그룹및현장권한","                                        "
"",60000100,"U",4,"개인별 그룹 연결","/zmis/z_user_group_connect_h.html"
"",60000200,"U",4,"개인별 현장 연결","/zmis/z_user_dept_connect_1h.html"
"",60000300,"U",4,"개인별 프로젝트 연결","/zmis/z_user_project_connect_1h.html"
"",60000400,"U",4,"개인별결재 경리/비서","/zmis/z_user_gulje_connect_1h.html"
"",70000000,"U",2,"부서등록","                                        "
"",70000100,"U",3,"사업장 등록","/zmis/z_code_comp_1h.html"
"",70000200,"U",3,"조직도및부서등록","/zmis/z_code_dept_degree_1h.html"
"",70000300,"U",3,"프로젝트 연결(경리/부서)","/const/r_web/00/r_a_proj_fi_dept_connect_1h.html"
"",80000000,"U",2,"사원등록","                                        "
"",80000100,"U",3,"직원 등록","/zmis/z_authority_user_input_1h.html"
"",80000200,"U",3,"협력업체 직원등록","/zmis/z_business_user_input_1h.html"
"",80000300,"U",3,"LOGIN 기록 현황","/zmis/z_login_status_1h.html"
"",80000400,"R",3,"공지 사항","/zmis/z_authority_notice_1h.html"
"",90000000,"U",2,"공통코드 등록","                                        "
"",90000100,"U",3,"우편번호 등록","/zmis/z_code_zip_1h.html"
"",90000200,"U",3,"기타 코드 등록","/zmis/z_code_etc_parent_1h.html"
"",90000300,"U",3,"프로세스 셋팅","/zmis/z_process_setting_1h.html"
"",100000000,"U",1,"실행관리","                                        "
"",110000000,"U",2,"내역 편성","                                        "
"",110000100,"U",3,"예산등록","/const/y_web/01/y_chg_degree_1h.html"
"",110000150,"U",3,"예산등록(품질안전팀)","/const/y_web/01/y_pum_budget_child_1h.html"
"",110000200,"R",3,"예산승인","/const/y_web/01/y_approve_process_1h.html"
"",110000225,"U",3,"실행외내역 등록","/const/y_web/02/y_outside_1h.html"
"",110000237,"R",3,"실행외내역 승인","/const/y_web/02/y_outside_approve_process_1h.html"
"",110000243,"R",3,"미발주내역조회","/const/y_web/02/y_budget_sbc_1h.html"
"",110000275,"U",3,"현장별단가대비","/const/y_web/03/y_compare_detail_price_1h.html"
"",110000300,"U",3,"spt",""
"",110000400,"P",3,"실행예산 내역서","/const/y_web/01r/y_chg_budget_rpt1_1h.html"
"",110000500,"P",3,"실행예산 변경 내역서","/const/y_web/01r/y_chg_budget_incre_rpt_1h.html"
"",110000600,"P",3,"실행예산 총괄표","/const/y_web/01r/y_budget_total_rpt_1h.html"
"",120000000,"U",2,"기본 관리","                                        "
"",120000100,"U",3,"표준공종","/const/y_web/99/y_wbs_code_1h.html"
"",120000150,"U",3,"마스터 공종","/const/y_web/99/y_wbs_parent_1h.html"
"",120000200,"U",3,"표준내역","/const/y_web/99/y_stand_detail_1h.html"
"",120000250,"U",3,"집계분류","/const/y_web/99/y_code_division_1h.html"
"",120000300,"S",3,"공사개요","/const/y_web/02/y_proj_basic_1h.html"
"",120000400,"S",3,"과세/면세등록","/const/y_web/02/y_proj_vattag_1h.html"
"",130000000,"U",1,"외주관리   ","                                        "
"",140000000,"U",2,"발주/견적 내역","                                        "
"",140000100,"U",3,"현설계획","/const/s_web/01/s_order_list_1h.html"
"",140000150,"R",3,"현설승인","/const/s_web/01/s_order_approve_process_1h.html"
"",140000175,"S",3,"현설결과","/const/s_web/01/s_order_result_1h.html"
"",140000200,"S",3,"입찰견적","/const/s_web/02/s_estimate_list_selyn_1h.html"
"",140000225,"R",3,"선정조회","/const/s_web/02/s_estimate_list_selyn_query_1h.html"
"",140000250,"U",3,"spt",""
"",140000350,"P",3,"현장설명 실시계획서","/const/s_web/01r/s_estimate_plan_1h.html"
"",140000450,"P",3,"현장설명서","/const/s_web/01r/s_field_report_1h.html"
"",140000550,"P",3,"현장설명 참가명부","/const/s_web/01r/s_estimate_list_1h.html"
"",140000600,"P",3,"예산대비표","/const/s_web/01r/s_order_content_detail_1h.html"
"",140000650,"P",3,"내역서","/const/s_web/01r/s_order_content_1h.html"
"",150000000,"U",2,"계약 관리 ","                                        "
"",150000050,"U",3,"계약대장(현장용)","/const/s_web/03/s_chg_cn_list_dept_1h.html"
"",150000100,"U",3,"계약대장","/const/s_web/03/s_chg_cn_list_1h.html"
"",150000200,"R",3,"계약승인","/const/s_web/03/s_sbc_approve_process_1h.html"
"",150000225,"R",3,"전자계약서작성","/const/s_web/03/s_sbc_list_make_1h.html"
"",150000250,"U",3,"보증서접수내역","/const/s_web/03/s_guarantee_accept_1h.html"
"",150000280,"R",3,"월별 계약현황","/const/s_web/03/s_cn_list_1h.html"
"",150000290,"R",3,"입찰 및 계약현황","/const/s_web/01/s_bid_cont_1h.html"
"",150000295,"R",3,"계약실적","/const/s_web/03/s_contract_results_1h.html"
"",150000300,"R",3,"spt",""
"",150000450,"P",3,"계약관련","/const/s_web/03r/s_cn_approve_rpt_1h.html"
"",150000500,"P",3,"변경/정산 하도승인신청서","/const/s_web/03r/s_chg_cn_approve_rpt_1h.html"
"",150000600,"P",3,"계약보증현황(현장별)","/const/s_web/03r/s_cn_dept_gurrant_1h.html"
"",150000700,"P",3,"계약보증현황(업체별)","/const/s_web/03r/s_cn_sbcr_gurrant_1h.html"
"",150000800,"P",3,"부가세 현황","/const/s_web/03r/s_cn_vat_list_rpt_1h.html"
"",150000900,"P",3,"인지세액 납부 현황","/const/s_web/03r/s_cn_stamp_list_rpt_1h.html"
"",150001100,"P",3,"계약 실적","/const/s_web/03r/s_cn_contract_results_rpt_1h.html"
"",160000000,"U",2,"기성 관리","                                        "
"",160000100,"U",3,"기성작성","/const/s_web/04/s_pay_1h.html"
"",160000150,"R",3,"기성내역조회","/const/s_web/04/s_pay_query_1h.html"
"",160000200,"R",3,"세금계산서접수현황","/const/s_web/04/s_account_list_1h.html"
"",160000300,"U",3,"spt",""
"",160000400,"R",3,"현장별기성현황","/const/s_web/05/s_pay_dept_1h.html"
"",160000500,"R",3,"업체별기성현황","/const/s_web/05/s_pay_sbcr_1h.html"
"",160000600,"R",3,"공종별기성현황","/const/s_web/05/s_pay_order_1h.html"
"",160000700,"",3,"spt",""
"",160000800,"P",3,"하도급기성신청(확정)서","/const/s_web/04r/s_cnreq_rpt_1h.html"
"",170000000,"U",2,"기초 코드","                                        "
"",170000200,"U",3,"전문공종","/const/s_web/99/s_profession_wbs_1h.html"
"",170000500,"U",3,"업종 면허 등록","/const/s_web/99/s_code_treatkind_1h.html"
"",170000600,"U",3,"평가항목등록(등록평가)","/const/s_web/99/s_code_insert_evl_1h.html"
"",180000000,"U",1,"협력업체 관리","                                        "
"",190000000,"U",2,"협력업체 관리","                                        "
"",190000100,"S",3,"협력업체정보변경","/const/s_web/06/s_req_sbcr_chg_1h.html"
"",190000200,"S",3,"등록신청업체조회","/const/s_web/06/s_req_sbcr_query_1h.html"
"",190000250,"S",3,"등록신청업체 추천인","/const/s_web/06/s_req_sbcr_recommender_1h.html"
"",190000300,"S",3,"협력업체등록결과입력(신규업체)","/const/s_web/06/s_req_sbcr_result_1h.html"
"",190000400,"U",3,"협력업체기본사항","/const/s_web/98/s_sbcr_1h.html"
"",190000425,"S",3,"위험업체관리","/const/s_web/98/s_sbcr_risk_1h.html"
"",190000450,"S",3,"외주/자재/공통 구분관리","/zmis/z_business_user_save_1h.html"
"",190000500,"R",3,"인증서관리","/const/s_web/98/s_cert_master_1h.html"
"",190000600,"",3,"spt",""
"",190000700,"P",3,"협력업체 등록서류 평가표","/const/s_web/01r/s_req_sbcr_evl_rpt_1h.html"
"",190000800,"P",3,"협력업체 등록원서","/const/s_web/01r/s_req_sbcr_rpt_1h.html"
"",190000900,"P",3,"협력업체등록명부(공종별)","/const/s_web/05r/s_sbcr_list_wbs_1h.html"
"",190001000,"P",3,"협력업체등록명부(업체별)","/const/s_web/05r/s_sbcr_list_sbcr_1h.html"
"",190001100,"P",3,"입찰 및 계약현황표","/const/s_web/05r/s_sbcr_bid_cont_1h.html"
"",190001200,"P",3,"협력업체 현황","/const/s_web/05r/s_sbcr_rpt_1h.html"
"",190001300,"P",3,"협력업체 등록현황","/const/s_web/05r/s_sbcr_list_rpt_1h.html"
"",200000000,"U",2,"평가관리","                                        "
"",200000100,"U",3,"평가계획입력","/const/s_web/06/s_evl_evlplan_1h.html"
"",200000200,"S",3,"평가자지정","/const/s_web/06/s_evl_evldept_insert_1h.html"
"",200000300,"R",3,"현장평가","/const/s_web/06/s_evl_proj_evl_1h.html"
"",200000400,"R",3,"본사평가","/const/s_web/06/s_evl_bon_evl_1h.html"
"",200000500,"S",3,"평가마감","/const/s_web/06/s_evl_close_1h.html"
"",200000600,"S",3,"총괄평가","/const/s_web/06/s_evl_totevl_1h.html"
"",210000000,"U",1,"노무관리   ","                                        "
"",220000000,"U",2,"기초관리","                                        "
"",220000100,"U",3,"노무자 기본사항","/const/l_web/99/l_labor_basic_1h.html"
"",220000200,"U",3,"직종코드등록","/const/l_web/99/l_code_job_1h.html"
"",220000300,"U",3,"세율등록","/const/l_web/99/l_taxrate_1h.html"
"",220000350,"U",3,"등급별 세율등록","/const/l_web/99/l_tax_degree_1h.html"
"",220000400,"U",3,"spt",""
"",220000500,"P",3,"근로자명부","/const/l_web/99r/l_labor_basic_list_1h.html"
"",220000600,"P",3,"직종코드집","/const/l_web/99r/l_job_1h.html"
"",230000000,"U",2,"월별출역관리","                                        "
"",230000050,"R",3,"월별 출역현황","/const/l_web/01/l_labor_monthly_list_1h.html"
"",230000500,"R",3,"이중출역자현황","/const/l_web/01/l_labor_dbcheck_1h.html"
"",230000600,"U",3,"spt",""
"",230000800,"P",3,"공종/직종별 집계표","/const/l_web/02r/l_wbs_tot_1h.html"
"",230000900,"P",3,"직종/공종별 집계표","/const/l_web/02r/l_job_tot_1h.html"
"",230002000,"P",3,"일자/공종별 집계표","/const/l_web/02r/l_daily_tot_1h.html"
"",240000000,"U",2,"월지급노무비관리","                                        "
"",240000100,"R",3,"월지급 노무비현황","/const/l_web/02/l_monthly_pay_list_1h.html"
"",250000000,"U",1,"자재관리   ","                                        "
"",260000000,"U",2,"계획관리","                                        "
"",260000100,"U",3,"자재발주계획등록","/const/m_web/01/m_plan_1h.html"
"",260000200,"U",3,"철근소요계획등록","/const/m_web/01/m_iron_plan_1h.html"
"",260000250,"R",3,"철근발주현황조회","/const/m_web/02/m_iron_dept_order_1h.html"
"",260000300,"S",3,"철근발주내역등록","/const/m_web/02/m_iron_order_1h.html"
"",260000400,"S",3,"가설재소요/반출계획입력","/const/m_web/01/m_tmat_inout_1h.html"
"",260000450,"R",3,"가설재소요/반출계획조회","/const/m_web/01/m_tmat_inout_query_1h.html"
"",260000500,"U",3,"spt",""
"",260000600,"P",3,"철근소요계획서","/const/m_web/01r/m_plan_rpt.html"
"",260000700,"P",3,"현장별철근소요계획서","/const/m_web/01r/m_iron_plan_rpt.html"
"",260000800,"P",3,"철근발주서","/const/m_web/01r/m_iron_order_rpt.html"
"",260000900,"P",3,"현장별철근예산대비입고현황","/const/m_web/01r/m_iron_budget_rpt.html"
"",260001000,"P",3,"레미콘업체별입고현황","/const/m_web/01r/m_remicon_rpt.html"
"",260001100,"P",3,"현장별철근입고현황","/const/m_web/01r/m_dept_iron_rpt.html"
"",260001200,"P",3,"업체별납품현황","/const/m_web/01r/m_dept_delivery_rpt.html"
"",260001300,"P",3,"가설자재소요및반출계획","/const/m_web/01r/m_tmat_plan_rpt.html"
"",260001400,"P",3,"자재발주계획","/const/m_web/01r/m_month_plan_rpt.html"
"",270000000,"U",2,"청구관리","                                        "
"",270000010,"U",3,"자재청구","/const/m_web/01/m_request_1h.html"
"",270000020,"S",3,"청구접수","/const/m_web/01/m_accept_1h.html"
"",270000030,"U",3,"spt",""
"",270000040,"P",3,"자재청구서","/const/m_web/01r/m_request_list_1h.html"
"",280000000,"U",2,"견적/품의","                                        "
"",280000100,"U",3,"견적내역등록","/const/m_web/02/m_estimation_list_1h.html"
"",280000150,"S",3,"견적 개봉","/const/m_web/02/m_estimation_list_selyn_1h.html"
"",280000200,"U",3,"구매품의","/const/m_web/02/m_approval_1h.html"
"",280000250,"U",3,"전자계약서작성","/const/m_web/02/m_sbc_list_make_1h.html"
"",280000275,"R",3,"월별 발주현황","/const/m_web/02/m_order_list_1h.html"
"",280000300,"R",3,"spt",""
"",280000400,"R",3,"견적대비표","/const/m_web/02r/m_vender_est_comp_list_1h.html"
"",280000500,"P",3,"품의대비입고현황","/const/m_web/02r/m_approv_input_1h.html"
"",280000600,"R",3,"구매품의서","/const/m_web/02/m_approval_1h.html"
"",280000700,"R",3,"발주서","/const/m_web/02/m_approval_1h.html"
"",290000000,"U",2,"수불관리","                                        "
"",290000100,"U",3,"자재입고","/const/m_web/03/m_input_1h.html"
"",290000200,"U",3,"자재출고","/const/m_web/03/m_output_1h.html"
"",290000220,"U",3,"자재전출","/const/m_web/03/m_trans_1h.html"
"",290000250,"R",3,"현장별가설재보유현황","/const/m_web/04/m_proj_tmat_1h.html"
"",290000300,"R",3,"가설재관리대장","/const/m_web/04/m_tmat_master_1h.html"
"",290000310,"U",3,"대금청구","/const/m_web/04/m_mat_request_1h.html"
"",290000320,"U",3,"출고전표작성","/const/m_web/04/m_output_slip_1h.html"
"",290000325,"R",3,"재료미출고현황","/const/m_web/04/m_tmat_nooutput_1h.html"
"",290000330,"U",3,"현장별가설재손료","/const/m_web/04/m_tmat_rent_1h.html"
"",290000450,"R",3,"본사가설재보유현황","/const/m_web/04/m_bonsa_tmat_1h.html"
"",290000480,"R",3,"주자재 투입현황","/const/m_web/04/m_input_mainmat_list_1h.html"
"",290000490,"R",3,"상각명세서(조회)","/const/m_web/03/m_tmat_list_1h.html"
"",290000495,"R",3,"품목별입고검색","/const/m_web/03/m_mtr_inputlist_1h.html"
"",290000500,"U",3,"spt",""
"",290000600,"P",3,"자재입고현황","/const/m_web/03r/m_matr_kind_input_1h.html"
"",290000610,"P",3,"자재일보","/const/m_web/03r/m_mtr_day_list_rpt.html"
"",290000620,"P",3,"업체별구입내역서","/const/m_web/03r/m_vender_mtr_list_rpt.html"
"",290000630,"P",3,"자재비지급내역서(현장용)","/const/m_web/03r/m_mtr_pay_rpt.html"
"",290000635,"P",3,"자재비지급내역서(본사용)","/const/m_web/03r/m_mtr_pay2_rpt.html"
"",290000640,"P",3,"자재재고현황","/const/m_web/03r/m_stock_1h.html"
"",290000650,"P",3,"자재수불집계표","/const/m_web/03r/m_inout_sum_1h.html"
"",290000700,"P",3,"전용자재인수증","/const/m_web/01r/m_input_rpt.html"
"",290000710,"P",3,"전용자재송장","/const/m_web/01r/m_invoice_rpt.html"
"",290000720,"P",3,"자재수불현황","/const/m_web/03r/m_inout_list_1h.html"
"",290000800,"P",3,"일자별자재입고현황","/const/m_web/03r/m_daily_input_1h.html"
"",290000900,"P",3,"거래처별입고현황","/const/m_web/03r/m_input_vender_1h.html"
"",290001300,"P",3,"자재출고전표","/const/m_web/03r/m_output_slip_1h.html"
"",290001400,"P",3,"상각명세서","/const/m_web/03r/m_tmat_list_1h.html"
"",300000000,"U",2,"기초코드","                                        "
"",300000050,"U",3,"현장구매업체등록","/const/m_web/99/m_proj_sbcr_1h.html"
"",300000100,"U",3,"자재코드 등록","/const/m_web/99/m_code_material_1h.html"
"",300000200,"U",3,"가설재계획코드등록","/const/m_web/99/m_code_tmat_1h.html"
"",300000300,"S",3,"철근레미콘단가테이블","/const/m_web/99/m_code_price_1h.html"
"",300000400,"U",3,"입출고 구분코드 등록","/const/m_web/99/m_code_inouttype_1h.html"
"",300000450,"U",3,"주자재코드 등록","/const/m_web/99/m_main_material_1h.html"
"",300000500,"U",3,"spt",""
"",300000600,"U",3,"자재코드집.","/const/comm_version_up_1h.html"
"",300000700,"U",3,"자재코드연결","/const/m_web/99/m_inv_temp_1h.html"
"",310000000,"U",1,"자금청구   ","                                        "
"",320000000,"U",2,"자금청구","                                        "
"",320000100,"U",3,"예비비청구내역","/const/f_web/01/f_preamt_request_1h.html"
"",320000200,"U",3,"미지급청구내역","/const/f_web/01/f_nopay_request_1h.html"
"",320000300,"S",3,"예비비정산내역","/const/f_web/01/f_request_1h.html"
"",320000325,"S",3,"예비비정산내역(비실행)","/const/f_web/01/f_request_no_1h.html"
"",320000350,"R",3,"잔액조회","/const/f_web/02/f_receipt_list_1h.html"
"",320000362,"R",3,"월별잔액조회(3개월)","/const/f_web/02/f_receipt_list_3mon_1h.html"
"",320000375,"R",3,"잔액조회(품안팀)","/const/f_web/02/f_receipt_as_list_1h.html"
"",320000400,"U",3,"수입금등록","/const/f_web/01/f_profit_1h.html"
"",320000450,"R",3,"현장별전표처리조회","/const/f_web/03/f_dept_slip_list_1h.html"
"",320000500,"R",3,"자동전표생성","/const/f_web/03/f_slip_list_1h.html"
"",320000600,"U",3,"spt",""
"",320000700,"P",3,"전도금집행내역서","/const/f_web/02r/f_payment_list_1h.html"
"",320000800,"P",3,"자금청구내역서","/const/f_web/01r/f_request_list_1h.html"
"",320000900,"P",3,"자금청구총괄표","/const/f_web/01r/f_request_tot_1h.html"
"",320001000,"U",3,"총괄표(본사용)","/const/f_web/00/f_code_dept_1h.html"
"",320001100,"P",3,"총괄표(현장용)","/const/f_web/00/f_code_proj_1h.html"
"",320001200,"P",3,"총괄표(품질안전팀)","/const/f_web/00/f_code_pum_1h.html"
"",330000000,"U",2,"기초 코드","                                        "
"",330000100,"U",3,"거래처코드등록","/const/f_web/99/f_cust_code_1h.html"
"",330000200,"U",3,"현장별계좌등록","/const/f_web/99/f_bank_code_1h.html"
"",330000300,"S",3,"하자보수비발생여부관리","/const/f_web/99/f_bank_code_as_1h.html"
"",330000400,"U",3,"현장별본사입금통장등록","/const/f_web/99/f_bank_code_bonsa_1h.html"
"",340000000,"",1,"원가관리","                                        "
"",350000000,"",2,"계획입력","                                        "
"",350000010,"U",3,"보할공정 등록","/const/c_web/02/c_chg_progress_1h.html"
"",350000020,"R",3,"보할공정 조회(본사)","/const/c_web/02/c_chg_progress_bonsa_1h.html"
"",350000025,"U",3,"현장조직입력","/const/c_web/04/c_structure_degree_1h.html"
"",350000030,"U",3,"실행/원가계획/도급기성","/const/c_web/02/c_cost_degree_1h.html"
"",350000035,"S",3,"실행/원가/기성 승인","/const/c_web/02/c_cost_degree_approve_1h.html"
