"user_seq_key:STRING(1)","no_seq:DECIMAL(10)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
4156,10000000,"",1,"공사관리","                                        "
4157,20000000,"",2,"실행관리","                                        "
4158,30000000,"",3,"예산편성","                                        "
261,30000010,"U",4,"예산등록","/const/y_web/01/y_chg_degree_1h.html"
991,30000020,"R",4,"예산승인","/const/y_web/01/y_approve_process_1h.html"
2435,30000030,"U",4,"실행외내역 등록","/const/y_web/02/y_outside_1h.html"
2436,30000035,"R",4,"실행외내역 승인","/const/y_web/02/y_outside_approve_process_1h.html"
2453,30000037,"R",4,"미발주내역조회","/const/y_web/02/y_budget_sbc_1h.html"
1303,30000050,"U",4,"현장별단가대비","/const/y_web/03/y_compare_detail_price_1h.html"
4159,40000000,"",3,"기본관리","                                        "
263,40000010,"R",4,"표준공종","/const/y_web/99/y_wbs_code_1h.html"
2300,40000015,"U",4,"마스터 공종","/const/y_web/99/y_wbs_parent_1h.html"
265,40000020,"U",4,"표준내역","/const/y_web/99/y_stand_detail_1h.html"
2418,40000025,"R",4,"집계분류","/const/y_web/99/y_code_division_1h.html"
1103,40000030,"U",4,"공사개요","/const/y_web/02/y_proj_basic_1h.html"
4160,50000000,"",2,"외주관리","                                        "
4161,60000000,"",3,"계약관리 ","                                        "
993,60000050,"R",4,"계약대장","/const/s_web/03/s_chg_cn_list_1h.html"
4162,70000000,"",3,"기성관리","                                        "
1307,70000030,"R",4,"현장별기성현황","/const/s_web/05/s_pay_dept_1h.html"
1308,70000035,"R",4,"업체별기성현황","/const/s_web/05/s_pay_sbcr_1h.html"
1309,70000037,"R",4,"공종별기성현황","/const/s_web/05/s_pay_order_1h.html"
5161,75000000,"",2,"협력업체관리","                                        "
4163,80000000,"",3,"협력업체관리","                                        "
972,80000040,"R",4,"협력업체기본사항","/const/s_web/98/s_sbcr_1h.html"
4164,90000000,"",3,"평가관리","                                        "
1225,90000020,"R",4,"평가계획입력","/const/s_web/06/s_evl_evlplan_1h.html"
1226,90000030,"R",4,"평가자지정","/const/s_web/06/s_evl_evldept_insert_1h.html"
2505,90000040,"R",4,"현장평가","/const/s_web/06/s_evl_proj_evl_1h.html"
2507,90000050,"R",4,"본사평가","/const/s_web/06/s_evl_bon_evl_1h.html"
4165,100000000,"",2,"원가관리","                                        "
4166,110000000,"",3,"보할 공정","                                        "
2900,110000010,"R",4,"보할공정 조회(본사)","/const/c_web/02/c_chg_progress_bonsa_1h.html"
3693,110000020,"R",4,"실행/원가계획/도급기성","/const/c_web/02/c_cost_degree_1h.html"
4167,120000000,"",3,"공사현황보고","                                        "
2892,120000030,"R",4,"주간공사현황등록","/const/c_web/03/c_week_status_1h.html"
2897,120000040,"R",4,"주간공사현황조회","/const/c_web/03/c_week_status_bonsa_1h.html"
3826,120000050,"S",4,"월간공사현황조회","/const/c_web/07/c_mis_bonsa_1h.html"
4168,130000000,"",3,"현장 조직","                                        "
4169,140000000,"",3,"준공추정","                                        "
3433,140000010,"R",4,"준공추정","/const/c_web/05/c_spec_const_progress_1h.html"
4170,150000000,"",3,"원가조회","                                        "
3455,150000010,"R",4,"지역별 원가조회","/const/c_web/06/c_map_1h.html"
3456,150000020,"R",4,"회사별 원가조회","/const/c_web/06/c_spec_const_parent_amt_1h.html"
3820,150000040,"R",4,"현장별 공사현황보고조회","/const/c_web/07/c_month_tot_1h.html"
5120,250000000,"",2,"자재관리","                                        "
5121,350000000,"",3,"수불관리","                                        "
4996,350000100,"R",4,"품목별입고검색","/const/m_web/03/m_mtr_inputlist_1h.html"
