"user_seq_key:STRING(1)","no_seq:DECIMAL(10)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
3728,10000000,"",1,"실행관리","                                        "
3729,20000000,"",2,"내역편성","                                        "
261,20000010,"R",3,"예산등록","/const/y_web/01/y_chg_degree_1h.html"
2435,20000030,"U",3,"실행외내역 등록","/const/y_web/02/y_outside_1h.html"
2453,20000037,"R",3,"미발주내역조회","/const/y_web/02/y_budget_sbc_1h.html"
1021,20000060,"",3,"spt",""
1018,20000070,"P",3,"실행예산 내역서","/const/y_web/01r/y_chg_budget_rpt1_1h.html"
1128,20000080,"P",3,"실행예산 변경 내역서","/const/y_web/01r/y_chg_budget_incre_rpt_1h.html"
1129,20000090,"P",3,"실행예산 총괄표","/const/y_web/01r/y_budget_total_rpt_1h.html"
3730,30000000,"",2,"기본관리","                                        "
265,30000020,"R",3,"표준내역","/const/y_web/99/y_stand_detail_1h.html"
1103,30000030,"U",3,"공사개요","/const/y_web/02/y_proj_basic_1h.html"
3731,40000000,"",1,"외주관리","                                        "
3732,50000000,"",2,"발주내역","                                        "
989,50000010,"U",3,"현설계획","/const/s_web/01/s_order_list_1h.html"
1100,50000013,"U",3,"현설승인","/const/s_web/01/s_order_approve_process_1h.html"
2605,50000017,"U",3,"현설결과","/const/s_web/01/s_order_result_1h.html"
1022,50000030,"",3,"spt",""
2448,50000040,"P",3,"현장설명 실시계획서","/const/s_web/01r/s_estimate_plan_1h.html"
1011,50000045,"P",3,"현장설명서","/const/s_web/01r/s_field_report_1h.html"
1390,50000050,"P",3,"현장설명 참가명부","/const/s_web/01r/s_estimate_list_1h.html"
2479,50000060,"P",3,"예산대비표","/const/s_web/01r/s_order_content_detail_1h.html"
1013,50000070,"P",3,"내역서","/const/s_web/01r/s_order_content_1h.html"
3733,60000000,"",2,"계약관리 ","                                        "
3811,60000050,"R",3,"월별 계약현황","/const/s_web/03/s_cn_list_1h.html"
4912,60000125,"U",3,"계약대장(현장용)","/const/s_web/03/s_chg_cn_list_dept_1h.html"
1212,60000200,"R",3,"보증서접수내역","/const/s_web/03/s_guarantee_accept_1h.html"
2485,60000300,"P",3,"계약관련","/const/s_web/03r/s_cn_approve_rpt_1h.html"
1144,60000400,"",3,"spt",""
2491,60000500,"P",3,"변경/정산 하도승인신청서","/const/s_web/03r/s_chg_cn_approve_rpt_1h.html"
3734,70000000,"",2,"기성관리","                                        "
1007,70000010,"U",3,"기성작성","/const/s_web/04/s_pay_1h.html"
4647,70000025,"R",3,"세금계산서접수현황","/const/s_web/04/s_account_list_1h.html"
5005,70000125,"P",3,"하도급기성신청(확정)서","/const/s_web/04r/s_cnreq_rpt_1h.html"
3737,72000000,"",2,"기초코드","                                        "
5175,75000000,"",1,"협력업체관리","                                        "
5049,80000000,"",2,"업체관리","                                        "
972,80000100,"R",3,"협력업체기본사항","/const/s_web/98/s_sbcr_1h.html"
3736,85000000,"",2,"평가관리","                                        "
1226,85000030,"U",3,"평가자지정","/const/s_web/06/s_evl_evldept_insert_1h.html"
2505,85000130,"U",3,"현장평가","/const/s_web/06/s_evl_proj_evl_1h.html"
3738,100000000,"",1,"노무관리","                                        "
3739,110000000,"",2,"월별출역관리","                                        "
2743,110000005,"R",3,"월별 출역현황","/const/l_web/01/l_labor_monthly_list_1h.html"
1247,110000050,"R",3,"이중출역자현황","/const/l_web/01/l_labor_dbcheck_1h.html"
1376,110000060,"",3,"spt",""
1377,110000080,"P",3,"공종/직종별 집계표","/const/l_web/02r/l_wbs_tot_1h.html"
1378,110000090,"P",3,"직종/공종별 집계표","/const/l_web/02r/l_job_tot_1h.html"
1379,110000100,"P",3,"일자/공종별 집계표","/const/l_web/02r/l_daily_tot_1h.html"
3740,120000000,"",2,"월지급노무비관리","                                        "
2778,120000010,"U",3,"월지급 노무비현황","/const/l_web/02/l_monthly_pay_list_1h.html"
3741,130000000,"",2,"기초관리","                                        "
977,130000010,"U",3,"노무자 기본사항","/const/l_web/99/l_labor_basic_1h.html"
1248,130000040,"",3,"spt",""
1249,130000050,"P",3,"근로자명부","/const/l_web/99r/l_labor_basic_list_1h.html"
1381,130000060,"P",3,"직종코드집","/const/l_web/99r/l_job_1h.html"
3745,140000000,"",1,"자재관리","                                        "
