"user_seq_key:STRING(1)","no_seq:DECIMAL(10)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
3894,10000000,"U",1,"분양관리","                                        "
3895,20000000,"U",2,"기본관리","                                        "
2067,20000010,"U",3,"현장등록","/general/h_web/01/h_code_dept_1h.html"
2068,20000020,"U",3,"분양구분등록","/general/h_web/01/h_code_house_1h.html"
2069,20000030,"U",3,"평형별약정등록","/general/h_web/01/h_base_pyong_master_1h.html"
2070,20000040,"U",3,"공급세대등록","/general/h_web/01/h_sale_master_insert_1h.html"
2071,20000050,"U",3,"계좌번호등록","/general/h_web/01/h_code_deposit_1h.html"
3316,20000055,"U",3,"가상계좌등록","/general/h_web/01/h_code_v_account_1h.html"
2072,20000060,"U",3,"서비스옵션등록","/general/h_web/01/h_base_option_master_1h.html"
2073,20000070,"U",3,"고객등록","/general/h_web/01/h_code_cust_1h.html"
2074,20000080,"R",3,"분양자료 엑셀 전환","/general/h_web/01/h_excel_download_1h.html"
2075,20000090,"",3,"spt",""
2078,20000100,"P",3,"현장별기본내역","/general/h_web/01r/h_dept_code_rpt_1h.html"
3896,30000000,"U",2,"청약관리","                                        "
2079,30000010,"U",3,"청약자 등록","/general/h_web/02/h_subs_master_1h.html"
2080,30000020,"U",3,"당첨자 등록","/general/h_web/02/h_subs_prize_master_1h.html"
2081,30000030,"U",3,"청약금 환불","/general/h_web/02/h_subs_refund_1h.html"
2082,30000040,"U",3,"청약자 일괄등록","/general/h_web/02/h_subs_web_data_1h.html"
2083,30000050,"U",3,"청약당첨자 일괄등록","/general/h_web/02/h_subs_reg_winner_batch_1h.html"
2084,30000060,"",3,"spt",""
2085,30000070,"P",3,"청약자/당첨자/예비당첨자출력","/general/h_web/02r/h_subs_list_rpt_1h.html"
2086,30000080,"P",3,"청약금입출금내역출력","/general/h_web/02r/h_subs_amt_rpt_1h.html"
2087,30000090,"P",3,"고객분석(청약자/계약자)","/general/h_web/02r/h_cust_status_rpt_1h.html"
3897,40000000,"U",2,"계약관리","                                        "
2088,40000010,"U",3,"계약자 등록","/general/h_web/03/h_contract_master_1h.html"
2089,40000020,"U",3,"명의변경","/general/h_web/03/h_contract_name_chg_1h.html"
2090,40000030,"U",3,"동호변경","/general/h_web/03/h_contract_dongho_chg_1h.html"
2091,40000040,"U",3,"해약처리","/general/h_web/03/h_contract_cancel_1h.html"
2093,40000060,"",3,"spt",""
2094,40000070,"U",3,"분양현황도","/general/h_web/03/h_cont_state_1h.html"
2095,40000080,"P",3,"계약자명단","/general/h_web/03r/h_contract_list_rpt_1h.html"
3623,40000085,"P",3,"미분양현황","/general/h_web/03r/h_cont_not_contract_rpt_1h.html"
2098,40000110,"P",3,"계약자스티커출력","/general/h_web/03r/h_contract_sticker_rpt_1h.html"
2099,40000120,"P",3,"전매명부","/general/h_web/03r/h_all_sale_list_rpt_1h.html"
2100,40000130,"P",3,"해약명부","/general/h_web/03r/h_contract_cancel_rpt_1h.html"
2101,40000140,"P",3,"해약환불금내역서","/general/h_web/03r/h_cancel_refund_rpt_1h.html"
5019,40000150,"P",3,"별도품목계약내역","/general/h_web/03r/h_sale_ontime_cont_rpt_1h.html"
3898,50000000,"U",2,"수입금관리","                                        "
2103,50000010,"U",3,"분양금입금관리","/general/h_web/04/h_income_master_1h.html"
3532,50000015,"S",3,"FBS가상계좌수납","/general/h_web/04/h_fb_intf_income_1h.html"
2104,50000020,"U",3,"일괄수납처리","/general/h_web/04/h_cms_conversion_1h.html"
5047,50000025,"S",3,"화성동탄(자료처리)","/general/h_web/04/h_batch_income_imp_data_1h.html"
2105,50000030,"U",3,"세대별메모사항","/general/h_web/04/h_sale_memo_1h.html"
2106,50000040,"U",3,"불명자료등록","/general/h_web/04/h_sale_income_unknown_1h.html"
3984,50000045,"U",3,"조정대상 조정","/general/h_web/04/h_sale_cntr_update_1h.html"
2107,50000050,"",3,"spt",""
2108,50000060,"P",3,"세대별분양총괄현황(*)","/general/h_web/04r/h_sale_dongho_total_rpt_1h.html"
2109,50000070,"P",3,"현장별총괄입금현황","/general/h_web/04r/h_sale_income_total_rpt_1h.html"
2110,50000080,"P",3,"개인별분양총괄현황","/general/h_web/04r/h_sale_income_pers_rpt_2h.html"
2111,50000090,"P",3,"동호별분양총괄현황","/general/h_web/04r/h_sale_income_dongho_rpt_1h.html"
2112,50000100,"P",3,"현장별분양총괄현황(*)","/general/h_web/04r/h_sale_income_dept_rpt_1h.html"
3818,50000102,"P",3,"수입금/미수금집계표","/general/h_web/04r/h_sale_income_total_a_1h.html"
3050,50000105,"P",3,"분양실적표","/general/h_web/04r/h_sale_income_dong_rpt_1h.html"
3720,50000106,"P",3,"평형별중도금집계현황","/general/h_web/04r/h_sale_pyong_total_rpt_1h.html"
2113,50000110,"P",3,"평형별분양현황(*)","/general/h_web/04r/h_sale_income_pyong_rpt_1h.html"
2114,50000120,"P",3,"분양금완납자명단","/general/h_web/04r/h_sale_income_fullpayment_rpt_1h.html"
2115,50000130,"P",3,"분양금선납자명단","/general/h_web/04r/h_sale_income_prepayment_rpt_1h.html"
