"user_seq_key:STRING(1)","no_seq:DECIMAL(18)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",100000000,"U",1,"실행관리","                                        "
"",200000000,"U",2,"내역편성","                                        "
"",200000100,"U",3,"내역 등록","/const/y_web/01/y_chg_degree_1h.html"
"",200000200,"U",3,"실행내역승인","/const/y_web/01/y_approve_process_1h.html"
"",200000300,"U",3,"실행외내역 등록","/const/y_web/02/y_outside_1h.html"
"",200000400,"R",3,"실행외내역 승인","/const/y_web/02/y_outside_approve_process_1h.html"
"",200000500,"R",3,"미발주 내역","/const/y_web/02/y_budget_sbc_1h.html"
"",200000600,"U",3,"현장별 단가대비","/const/y_web/03/y_compare_detail_price_1h.html"
"",200000610,"",3,"spt",""
"",200000700,"P",3,"실행예산 내역서","/const/y_web/01r/y_chg_budget_rpt1_1h.html"
"",200000800,"P",3,"실행예산 변경 내역서","/const/y_web/01r/y_chg_budget_incre_rpt_1h.html"
"",200000900,"P",3,"실행예산 총괄표","/const/y_web/01r/y_budget_total_rpt_1h.html"
"",300000000,"U",2,"기본관리","                                        "
"",300000100,"U",3,"표준 공종","/const/y_web/99/y_wbs_code_1h.html"
"",300000200,"U",3,"마스터 공종","/const/y_web/99/y_wbs_parent_1h.html"
"",300000300,"U",3,"표준 내역","/const/y_web/99/y_stand_detail_1h.html"
"",300000400,"U",3,"집계 분류","/const/y_web/99/y_code_division_1h.html"
"",300000500,"U",3,"공사 개요","/const/y_web/02/y_proj_basic_1h.html"
"",300000700,"",3,"spt",""
"",300000800,"P",3,"표준 공종","/const/y_web/99r/y_wbs_code_list_1h.html"
