"user_seq_key:STRING(1)","no_seq:DECIMAL(10)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",100000000,"",1,"경영정보","                                        "
"",200000000,"",2,"공사정보","                                        "
"",300000000,"",3,"수주영업","                                        "
"",300000100,"R",4,"공사정보관리","/const/r_web/02/r_const_inform_1h.html"
"",300000200,"R",4,"입찰정보관리","/const/r_web/02/r_receive_code_1h.html"
"",300000300,"R",4,"공사계약대장","/const/r_web/03/r_contract_list_1h.html"
"",400000000,"",3,"외주","                                        "
"",400000100,"R",4,"계약 대장","/const/s_web/03/s_chg_cn_list_1h.html"
"",400000200,"R",4,"협력업체 등록","/const/s_web/98/s_sbcr_1h.html"
"",500000000,"",3,"자재","                                        "
"",600000000,"",3,"원가","                                        "
"",600000100,"R",4,"공사 현황 총괄","/const/c_web/01/c_spec_const_parent_amt_1h.html"
"",600000200,"R",4,"월별 공사현황 총괄(계획대비)","/const/c_web/01/c_spec_plan_yymm_1h.html"
"",600000300,"R",4,"현장별 사진 조회","/const/c_web/01/c_prgs_picture_dept_1h.html"
