"user_seq_key:STRING(1)","no_seq:DECIMAL(18)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",20000000,"U",1,"인사관리","                                        "
"",30000000,"U",2,"기초코드","                                        "
"",30000100,"U",3,"기초코드관리","/general/p_web/01/p_code_regist_1h.html"
"",30000300,"U",3,"기초코드등록","/general/p_web/01/p_code_regist_parent_1h.html"
"",30000400,"U",3,"발령코드등록","/general/p_web/01/p_code_order_1h.html"
"",40000000,"U",2,"인사기본","                                        "
"",40000100,"U",3,"신규사번등록","/general/p_web/02/p_pers_empno_new_1h.html"
"",40000200,"U",3,"인사기본사항","/general/p_web/02/p_pers_master_1h.html"
"",40000300,"R",3,"사진등록","/general/p_web/02/p_pers_picture_1h.html"
"",40000400,"S",3,"개인정보관리","/general/p_web/02/p_pers_master_emp_1h.html"
"",40000500,"U",3,"제증명서신청","/general/p_web/02/p_pers_cer_req_1h.html"
"",40000600,"S",3,"제증명서발급","/general/p_web/02/p_pers_cer_issue_1h.html"
"",40000700,"",3,"직원조회","/general/p_web/08/p_pers_master_dept_1h.html"
"",45000000,"",2,"현채직관리","                                        "
"",45000100,"U",3,"현채직관리","/general/p_web/18/p_pers_cont_1h.html"
"",50000000,"U",2,"발령관리","                                        "
"",50000100,"U",3,"발령등록","/general/p_web/04/p_order_paperno_1h.html"
"",50000200,"U",3,"정기승호 일괄등록","/general/p_web/04/p_order_levelup_1h.html"
"",50000300,"R",3,"조직도조회","/general/p_web/08/p_dept_title_empno_1h.html"
"",55000000,"U",3,"테이터변환","                                        "
"",55000100,"S",4,"발령컨버전","/general/p_web/20/p_order_conv_1h.html"
"",60000000,"U",2,"정원관리","                                        "
"",60000010,"U",3,"TO/PO관리","/general/p_web/12/p_to_po_manage_1h.html"
"",60000110,"R",3,"조직별 TO/PO현황","/general/p_web/12/p_to_po_dept_title_1h.html"
"",70000000,"R",2,"인원현황","                                        "
"",70000005,"R",3,"부서/직위별 인원현황(성명)","/general/p_web/11/p_person_dept_grade_emp_1h.html"
"",70000010,"R",3,"부서/직위별 인원현황","/general/p_web/11/p_person_dept_grade_1h.html"
"",70000020,"R",3,"직위/학력별 인원현황","/general/p_web/11/p_person_grade_schoolcar_1h.html"
"",70000120,"R",3,"직위/연령별 인원현황","/general/p_web/11/p_person_grade_age_1h.html"
"",70000220,"R",3,"직위별 입사현황","/general/p_web/11/p_person_grade_join_1h.html"
"",70000320,"R",3,"직위별 퇴사현황","/general/p_web/11/p_person_grade_retire_1h.html"
"",80000000,"U",2,"채용관리","                                        "
"",80000100,"U",3,"채용차수 관리","/general/p_web/03/p_emp_degree_1h.html"
"",80000150,"S",3,"응시자 가져오기","/general/p_web/03/p_emp_hp_plus_import_1h.html"
"",80000200,"U",3,"면접관 등록","/general/p_web/03/p_emp_inter_staff_1h.html"
"",80000300,"S",3,"면접","/general/p_web/03/p_emp_result_staff_1h.html"
"",80000400,"S",3,"합격자 관리","/general/p_web/03/p_emp_pass_1h.html"
"",80000500,"S",3,"합격승인 등록","/general/p_web/03/p_emp_result_pass_1h.html"
"",90000000,"U",2,"복리후생","                                        "
"",90000010,"U",3,"경조사/학자금등록","/general/p_web/09/p_gen_welfare_1h.html"
"",90000020,"U",3,"월드회수입/지출관리","/general/p_web/09/p_gen_income_list_1h.html"
"",90000030,"U",3,"월드회대출등록","/general/p_web/09/p_gen_loan_1h.html"
"",90000035,"R",3,"월드회상환내역집계","/general/p_web/09/p_repay_update_1h.html"
"",90000040,"U",3,"월드회상환관리","/general/p_web/09/p_gen_repay_1h.html"
"",90000050,"U",3,"직위별자가운전보조비등록(월별)","/general/p_web/09/p_gen_grade_driver_1h.html"
"",90000100,"U",3,"자가운전보조비집계","/general/p_web/09/p_gen_driver_1h.html"
