605-81-10092,(주)동명베아링,97019395,-23949068,0,0,0,-120968463,-120968463
606-81-15799,(주)반도정밀,4475000,0,0,0,-4050000,-8525000,-8525000
605-81-08465,(주)부산상공사,62639665,-9726508,0,0,0,-72366173,-72366173
605-81-13352,(주)삼원자동화,14551980,0,0,0,502006,-14049974,-14049974
605-81-16586,(주)삼진종합상사,24390133,-1844172,0,0,0,-26234305,-26234305
501-81-17925,(주)삼흥베아링,5200000,0,0,0,2566365,-2633635,-2633635
605-85-11221,(주)서진베아링상사,123459599,-1990989,0,0,137429869,11979281,11979281
416-81-10721,(주)원상사,0,0,0,0,-2089664,-2089664,-2089664
606-81-15881,(주)코리아세진티.엔.에스,0,0,0,0,-45035,-45035,-45035
501-81-19001,(주)태광베어링,52064397,-13992539,0,0,0,-66056936,-66056936
501-81-15515,(주)호성베아링,12636833,-1793440,0,0,0,-14430273,-14430273
125-85-11540,FAG 한화베어링(주),77363451,-10258226,0,0,99885544,12263867,12263867
606-05-11315,J.S.KOREA,8250000,0,0,0,-44000,-8294000,-8294000
605-40-77498,강남베아링,5000000,-369270,0,0,0,-5369270,-5369270
605-44-60317,건명베아링,9454140,-5856972,0,0,520,-15310592,-15310592
606-35-95267,관우통상,10784376,0,0,0,11044684,260308,260308
604-01-73146,국제윤어링,767536,0,0,0,0,-767536,-767536
501-31-95469,금강베아링,8845709,0,0,0,103789,-8741920,-8741920
605-01-67540,금성상사,11254045,-296406,0,0,5977732,-5572719,-5572719
501-02-47744,금창베아링,3537710,0,0,0,0,-3537710,-3537710
605-44-68833,기화종합상사,0,0,0,0,-175269,-175269,-175269
513-01-35996,다우 TRADING Co.,,2000000,0,0,0,-1000000,-3000000,-3000000
605-40-60944,대동상사,1500000,-300080,0,0,38216,-1761864,-1761864
501-81-14909,대영베어링(주),54683288,-4423859,0,0,0,-59107147,-59107147
610-81-41582,대우베어링(주),5075411,-4676320,0,0,0,-9751731,-9751731
609-54-66705,대은베아링,190335988,-12835284,0,0,100172431,-102998841,-102998841
606-35-85551,대한베아링,13401916,0,0,0,9151879,-4250037,-4250037
605-01-99630,덕산상사,8378000,0,0,0,565,-8377435,-8377435
411-10-68612,덕수상사,0,0,0,0,-9512,-9512,-9512
605-81-36296,동남베아링(주),13617978,0,0,0,0,-13617978,-13617978
501-26-70090,동명베아링상사,44663000,-9172163,0,0,2829179,-51005984,-51005984
608-01-90282,동서산업상사,2100000,-1217700,0,0,-6634,-3324334,-3324334
606-44-67763,동양상공사,22719510,-1073600,0,0,8591121,-15201989,-15201989
608-36-88226,동양상공사(마산),1530859,0,0,0,0,-1530859,-1530859
506-03-67005,동양상공사(포항),23023857,-1769515,0,0,22816200,-1977172,-1977172
605-39-98522,삼광베아링상사,816079,-68596,0,0,0,-884675,-884675
409-85-12414,삼성광주전자(주)광주2공장,1211980,-1258400,0,0,1211980,-1258400,-1258400
605-38-74858,삼양베아링(사상),20696367,-187660,0,0,0,-20884027,-20884027
605-43-62583,삼양베아링(중시),4836953,-740432,0,0,0,-5577385,-5577385
605-05-74199,삼혁상사,2259961,-34496,0,0,0,-2294457,-2294457
501-31-95644,서울베아링,32634316,-9597236,0,0,0,-42231552,-42231552
508-06-91249,신안베아링상사,369754,0,0,0,0,-369754,-369754
605-05-61433,신창상회,13405441,-9496212,0,0,5,-22901648,-22901648
506-03-60962,영남기계상사,2156000,0,0,0,0,-2156000,-2156000
503-05-43949,영남베어링,3689796,-672628,0,0,0,-4362424,-4362424
513-03-27409,예일상사,19237965,-2161665,0,0,13069601,-8330029,-8330029
605-05-67290,우신베아링,6INSERT INTO CHART3  VALUES (986756,0,0,0,1608244,-5378512,-5378512
605-38-76157,유한베아링,16402868,-7420116,0,0,6026772,-17796212,-17796212
605-01-93994,일진상사,170000,0,0,0,0,-170000,-170000
606-03-38396,정우베아링상사,0,0,0,0,-702,-702,-702
603-30-62345,진주베아링,14450359,0,0,0,0,-14450359,-14450359
605-45-71539,창녕베아링상사,24898403,0,0,0,15833950,-9064453,-9064453
609-10-62914,케이피엔지니어링,4290000,0,0,0,0,-4290000,-4290000
605-40-91563,코리아상공사,24943248,-27333845,0,0,0,-52277093,-52277093
504-07-38138,태광통상,5316267,-939180,0,0,0,-6255447,-6255447
605-04-88570,태양상사,16403519,-10096070.6,0,0,0,-26499589.600000001,-26499589.600000001
505-04-63094,태영기공사,685245,0,0,0,0,-685245,-685245
609-40-65091,파츠코리아,5831485,-64812,0,0,0,-5896297,-5896297
602-14-60738,한국베아링(국제시장),6794400,0,0,0,-133,-6794533,-6794533
608-36-64471,한도상사,14243409,-681153,0,0,51000,-14873562,-14873562
605-01-80903,한신베아링,5000000,-4756169,0,0,0,-9756169,-9756169
504-19-71479,한우베아링,10000000,-40920,0,0,0,-10040920,-10040920
602-14-62681,한일베아링(국시),1849000,-1370710,0,0,718983,-2500727,-2500727
613-15-96437,한일베아링(진주),3313068,0,0,0,0,-3313068,-3313068
605-05-60851,현대베아링,838255,0,0,0,0,-838255,-838255
606-34-92166,호성베어링상사,2406800,-1089000,0,0,0,-3495800,-3495800
606-45-78608,홍덕상공사,0,0,0,0,-128000,-128000,-128000
