서울지사, 1500, 120, 500, 20, 26, 56, 20, #9bae51
부산지사, 1200, 310, 540, 37, 32, 39, 37, #aa55a2
대전지사, 1400, 640, 420, 62, 55, 61, 55, #667199
광주지사, 980, 520, 680, 28, 39, 44, 69, #aaa255
인천지사, 800, 620, 500, 34, 19, 20, 34, #b34d4d
대구지사, 780, 130, 140, 53, 29, 69, 37, #0980f7
강릉지사, 900, 320, 340, 29, 70, 10, 32, #55a2aa
경기지사, 2500, 340, 570, 18, 0, 0, 0, #9bae51
충남지사, 1100, 190, 460, 24, 0, 0, 0, #aa55a2
충북지사, 1000, 70, 350, 48, 0, 0, 0, #667199
전남지사, 2000, 410, 720, 23, 0, 0, 0, #aaa255
전북지사, 1900, 230, 630, 67, 0, 0, 0, #b34d4d
경남지사, 1600, 180, 700, 56, 0, 0, 0, #0980f7
경북지사, 1800, 170, 290, 32, 0, 0, 0, #55a2aa
강원지사, 2200, 230, 460, 27, 0, 0, 0, #9bae51
